     #Energy           s          py          pz          px       tot
    -6.70488     0.27460     0.04543     0.06003     0.03473     0.41479
    -6.69488     0.28280     0.04738     0.06216     0.03598     0.42832
    -6.68488     0.27690     0.04713     0.06024     0.03526     0.41953
    -6.67388     0.25730     0.04467     0.05450     0.03263     0.38910
    -6.66388     0.23910     0.04200     0.04946     0.03003     0.36059
    -6.65388     0.22470     0.03966     0.04538     0.02799     0.33773
    -6.64388     0.21360     0.03779     0.04219     0.02649     0.32007
    -6.63288     0.20450     0.03626     0.03966     0.02530     0.30572
    -6.62288     0.19760     0.03514     0.03793     0.02444     0.29511
    -6.61288     0.19150     0.03434     0.03683     0.02371     0.28638
    -6.60188     0.18580     0.03357     0.03576     0.02302     0.27815
    -6.59188     0.18050     0.03282     0.03474     0.02236     0.27042
    -6.58188     0.17570     0.03209     0.03376     0.02173     0.26328
    -6.57088     0.17130     0.03139     0.03283     0.02114     0.25666
    -6.56088     0.16700     0.03070     0.03193     0.02056     0.25019
    -6.55088     0.16300     0.03001     0.03107     0.01999     0.24407
    -6.54088     0.15910     0.02932     0.03025     0.01944     0.23811
    -6.52988     0.15630     0.02876     0.02961     0.01903     0.23370
    -6.51988     0.15360     0.02820     0.02898     0.01865     0.22943
    -6.50988     0.15090     0.02763     0.02835     0.01828     0.22516
    -6.49888     0.14820     0.02706     0.02773     0.01791     0.22090
    -6.48888     0.14560     0.02647     0.02711     0.01756     0.21674
    -6.47888     0.14300     0.02589     0.02650     0.01722     0.21261
    -6.46788     0.14050     0.02530     0.02589     0.01688     0.20857
    -6.45788     0.13840     0.02485     0.02543     0.01667     0.20535
    -6.44788     0.13650     0.02447     0.02505     0.01652     0.20254
    -6.43788     0.13480     0.02414     0.02472     0.01640     0.20006
    -6.42688     0.13320     0.02384     0.02443     0.01631     0.19778
    -6.41688     0.13180     0.02359     0.02418     0.01624     0.19581
    -6.40688     0.13040     0.02336     0.02395     0.01617     0.19388
    -6.39588     0.13000     0.02338     0.02379     0.01611     0.19328
    -6.38588     0.12950     0.02342     0.02363     0.01604     0.19259
    -6.37588     0.12900     0.02344     0.02346     0.01598     0.19188
    -6.36488     0.12830     0.02343     0.02329     0.01593     0.19095
    -6.35488     0.12760     0.02337     0.02310     0.01588     0.18995
    -6.34488     0.12600     0.02312     0.02286     0.01583     0.18781
    -6.33488     0.12310     0.02254     0.02252     0.01577     0.18393
    -6.32388     0.12030     0.02195     0.02219     0.01573     0.18017
    -6.31388     0.11750     0.02135     0.02186     0.01570     0.17641
    -6.30388     0.11480     0.02075     0.02154     0.01568     0.17277
    -6.29288     0.11210     0.02014     0.02123     0.01568     0.16915
    -6.28288     0.10950     0.01952     0.02091     0.01569     0.16562
    -6.27288     0.10700     0.01889     0.02060     0.01571     0.16220
    -6.26188     0.10610     0.01844     0.02037     0.01596     0.16087
    -6.25188     0.10590     0.01808     0.02017     0.01632     0.16047
    -6.24188     0.10620     0.01779     0.02000     0.01674     0.16073
    -6.23188     0.10700     0.01756     0.01984     0.01724     0.16164
    -6.22088     0.10810     0.01737     0.01968     0.01775     0.16290
    -6.21088     0.10880     0.01716     0.01952     0.01819     0.16367
