# Radioactive decay data: C-14
# Activity: measured decay counts per year
# t(year)    Activity(count/year)
0.00    492
408.16    491
816.33    428
1224.49    437
1632.65    433
2040.82    370
2448.98    360
2857.14    350
3265.31    343
3673.47    309
4081.63    303
4489.80    274
4897.96    281
5306.12    268
5714.29    241
6122.45    247
6530.61    206
6938.78    205
7346.94    197
7755.10    197
8163.27    190
8571.43    156
8979.59    138
9387.76    156
9795.92    166
10204.08    137
10612.24    124
11020.41    142
11428.57    132
11836.73    129
12244.90    109
12653.06    121
13061.22    98
13469.39    92
13877.55    100
14285.71    102
14693.88    72
15102.04    88
15510.20    84
15918.37    73
16326.53    65
16734.69    79
17142.86    61
17551.02    53
17959.18    52
18367.35    68
18775.51    54
19183.67    56
19591.84    57
20000.00    41
