# Projectile motion data
# v0 = 20 m/s, theta = 45 deg
# t(s)    x(m)    y(m)
0.00    0.0497    -0.0292
0.10    1.4004    1.3050
0.20    2.8932    2.8177
0.30    4.3949    3.8003
0.40    5.6334    4.7671
0.50    7.0477    5.9283
0.60    8.6432    6.5992
0.70    9.9762    7.5194
0.80    11.2668    7.9817
0.90    12.7822    8.6261
1.00    14.0958    9.2618
1.10    15.5098    9.7012
1.20    16.9948    9.9317
1.30    18.1934    10.0922
1.40    19.6265    10.1649
1.50    21.1570    10.0404
1.60    22.5261    10.0114
1.70    24.0731    9.8346
1.80    25.3650    9.6856
1.90    26.7288    9.2154
2.00    28.4308    8.5080
2.10    29.6759    8.1219
2.20    31.1195    7.3582
2.30    32.3844    6.5382
2.40    33.8867    5.7783
2.50    35.3664    4.8334
2.60    36.6545    3.7387
2.70    38.2213    2.3788
2.80    39.5379    1.1511
