# van der Waals gas data
# T = 290 K, n = 1 mol, R = 0.08206 L·atm/mol·K
# V(L/mol)    P_N2(atm)    P_CO2(atm)    P_H2O(atm)
0.2000    113.9949    61.4091    3.9355
0.2220    104.2199    59.6677    13.4464
0.2441    94.9664    58.5793    19.6304
0.2661    85.8970    55.4359    23.7323
0.2881    79.1018    52.1767    25.9145
0.3102    72.7239    50.8715    28.4710
0.3322    67.6616    48.6183    30.0483
0.3542    64.2191    47.8262    29.3558
0.3763    60.2656    46.0611    29.7369
0.3983    57.8126    43.8929    30.1526
0.4203    54.0617    43.8839    30.1356
0.4424    51.0842    41.7055    29.3306
0.4644    49.6637    38.6161    28.9402
0.4864    47.4629    38.8833    29.1944
0.5085    45.2454    37.0387    28.0341
0.5305    43.0185    35.7795    28.6408
0.5525    42.0113    33.9938    27.8360
0.5746    39.9988    33.5242    27.4501
0.5966    39.3798    33.3360    26.3611
0.6186    37.2568    32.0974    26.5789
0.6407    35.9119    30.9639    25.2724
0.6627    34.3677    30.5761    25.7223
0.6847    33.8571    29.8510    24.8631
0.7068    32.5414    28.8038    24.8182
0.7288    31.8693    28.5811    22.8640
0.7508    31.3514    27.2729    23.2465
0.7729    30.1457    25.7887    22.8395
0.7949    29.4429    26.5304    22.3159
0.8169    28.1654    25.1662    22.3815
0.8390    27.9133    24.5884    21.8447
0.8610    27.1180    24.5906    21.0646
0.8831    26.2852    23.5751    20.4521
0.9051    25.8979    23.3033    20.5463
0.9271    25.0926    22.2482    20.0617
0.9492    24.4801    22.0004    19.7960
0.9712    24.2034    22.4416    19.5602
0.9932    23.6236    21.3731    18.6320
1.0153    23.0210    21.0050    19.5658
1.0373    22.4837    20.6835    18.5528
1.0593    21.6998    20.5556    18.4711
1.0814    21.9007    19.5709    18.3547
1.1034    20.7720    19.6586    18.2774
1.1254    20.4997    18.9822    17.4495
1.1475    20.2610    18.3766    17.1763
1.1695    19.7168    18.6262    16.6682
1.1915    20.1281    17.9722    16.5706
1.2136    19.5543    17.5568    16.4637
1.2356    19.3509    17.1735    16.2158
1.2576    18.7235    17.5208    15.6449
1.2797    17.9708    17.1797    15.7864
1.3017    18.0954    16.8704    15.3400
1.3237    17.7932    16.6007    15.1218
1.3458    17.9331    16.3961    14.8090
1.3678    17.3364    15.8056    15.0524
1.3898    17.1922    15.6121    14.8922
1.4119    16.7411    15.7721    14.9006
1.4339    16.3252    15.1860    14.1106
1.4559    15.9429    15.1279    14.1913
1.4780    15.9687    15.1223    13.9439
1.5000    16.0135    14.6757    14.3293
